,query,comment_id,comment,room_type,fuzzy_room_type
0,关于整体满意度和餐饮设施的评论,0,"房间非常好 装修很厚重奢华 一开始看评论 看酒店自己po的照片 感觉跟快捷酒店一样 有些害怕  但来了之后 真的很惊喜 装修很厚重 很奢华 跟一些老牌的日系酒店 （帝国酒店）之类的感觉 没想到在广州也有这样开业时间很长但仍然配套跟得上的酒店。。
服务很好！ 门童拿行李迎宾开门 比一些国际连锁的五星要好多了。 退房时候liren还帮忙直接登记了退房 不用排队了。什么时候北京的酒店服务也能跟上广州呢。。。

另外吃的真的很好

晚上去楼顶旋转自助吃 螃蟹腿鲍鱼进口生蚝 吃撑了 还有最爱吃的金蒜牛肉 做的真的很好吃 比北京第六季那种什么海鲜都拿来涮的自助强好多

酒店里还有花园 大锦鲤吃的真的好 又大又肥

总体来说 物超所值  下次还来",红棉大床套房,套房
1,关于房间设施和整体满意度的评论,1,花园酒店广州的老牌五星，一直期望的入住。房间我入住时要求前台帮我升级了新装修的房间，粤韵。其他的房型是没装修过的。房间大，干净，就是卫生间没隐私，换衣服要躲在淋浴房里才行。其他的环境设置泳池，都挺好，服务员服务水平一般，没有白天鹅感受的温暖，感觉有点冷冷的。外国人很多，地铁口离酒店门口有一点点距离，步行6-7分钟。早餐很用心，菜品昧道很赞。家庭亲子不建议，可以来吃饭，住就可以选其他更好的，白天鹅宾馆新装修的，房型很不错。建议花园酒店参考改进。,红棉大床套房,套房
2,关于整体满意度和前台服务的评论,2,一进酒店就感觉来到了桃花源，迎宾人员都很热情，彬彬有礼，房间也非常不错，床品都很舒服，洗嗽用品的香味很好闻！还有旋转自助餐厅非常不错，食材品质都很好，厨师手艺在线！四楼的还有个酒店博物馆值得一去！最后感谢携程推荐了这么好的酒店！下次来广州还住这里！,花园双床房,双床房
3,关于餐饮设施和公共设施的评论,3,总体来说很好。早餐有两个地方可以用，最上层的旋转餐厅用早餐感觉还是非常不错的。另外酒店的后花园也挺好，硕大的锦鲤鱼??甚是好看。酒店四楼的“酒店博物馆”再次惊到我，内容非常丰富，不愧是钻石五星酒店。,花园大床房,大床房
4,关于整体满意度和前台服务的评论,4,多年没来广州，临时起意过来住花园酒店，环境舒适，没有想象中的老式，全员服务在线，礼貌周到，给顾客一种所有员工都在朝着让客人满意的方向努力的感觉，也因此使得本来因夜里市政修路产生噪音而换房的麻烦也显得没那么让人烦躁了。 订的双早，入住的时候小姐姐给小孩也赠送了早餐，客房服务速度很快，整个入住体验如沐春风不为过，担得起广州地标的称誉,花园双床房,双床房
5,关于卫生状况和周边配套的评论,5,"酒店环境很好，房间干净整洁，视野不错。酒店的后花园挺漂亮的，可以逛逛。附近买吃的也方便。
美中不足的因为少带充电线，但是酒店借的充电线是完全不能用的，和酒店服务部说明后，工作人员说没有多余的充电线了。好在可以借充电宝或在酒店的迷你超市买充电线。
总体来说是不错的体验。",花园大床房,大床房
6,关于整体满意度和前台服务的评论,6,有集团金卡可以免费升级房型，酒店装修过非常的漂亮，后花园很大，景色很好。早餐非常好吃，电梯很多不用等。服务态度也很好，大厅的人员很多，去哪里都有人主动上来招待。礼宾部寄存行李的地方态度很好，速度很快。,花园大床房,大床房
7,关于餐饮设施和客房服务的评论,7,"酒店房间上放着餐厅有75折扣优惠，并且没有写有截至时间，但是去餐厅用完餐就被告知已经没有优惠了，这个餐饮优惠活动没有和客房服务能够同步非常让人失望，对我们住店客户有很大的误导性。
客房打扫人员，每天都把使用过的牙膏扔掉，这个浪费很大，本来牙膏在没有使用完我都还可以继续使用，现在只能每天都开个新的牙刷牙膏套装，非常不环保和浪费。建议牙膏牙刷分开装，客户自己没有扔掉服务员不要帮扔。",花园大床房,大床房
8,关于房间设施和前台服务的评论,8,"酒店服务相当不错，很有礼貌，入住和退房是挺快的。入住时还送了两朵康乃馨。不值钱，但是心意是有的。如果房间配个花瓶会更好，我们是用杯子插的。
酒店古色古香，像是行走中的博物馆，而且4楼真的有一个博物馆。介绍了很多酒店的历史，值得参观。博物馆是7点结束，所以要早点去。
自助点心晚餐和自助早餐都还不错，个人对自助点心晚餐是比较满意的，品质味道都有保证，我特别喜欢芋角和麻薯。女儿就非常喜欢吃牛百叶，吃了五笼。
我比较喜欢吃面包，但是自助早餐的面包有点让我失望。其他还是可以的。
最重要的房间，也是我没想到的，床头就是冲凉房，冲凉房就是一个浴缸，直接上浴缸。而且厕所门是同一个冲凉就不能上厕所，上厕所就不能冲凉。蛮尴尬的。
床和枕头还是蛮舒服的。
但电视机没办法投屏，有时候想看一些手机上的剧，想投到电视上就没办法。
看来我们住的是比较便宜的房间，所以比较小，我看到网上红棉房那个房型是比较好的，但是价格贵。
有钱建议还是订红棉房。",花园双床房,双床房
9,关于餐饮设施和前台服务的评论,9,房间硬件不错，服务、餐饮不及格，沟通好的生日主题布置，居然忘记了！提醒前台以后特意离开房间给工作人员布置，结果回房间一看，蛋糕没有，一问，原来送到别人的房间去了！无语！所谓的瀑布餐厅的早餐，更加无语！排队就算了！里面的菜品不如快捷酒店！2百多一位的早餐 和其他酒店38元一位的差不多！咖啡还没快捷酒店的好！至于荔湾亭的好评绝对是花钱买的！全部扎扎实实的预制菜！隐形消费多！吃顿饭补了3次钱！自助餐居然茶位费需要另付！白开水也要18元一位！,红棉大床套房,套房
10,关于整体满意度和餐饮设施的评论,10,"很喜欢花园酒店，服务好，帮我们升级了房间，房间宽敞干净，住着舒服；早餐供应时间长，品种丰富味道好，就是小孩子6岁就要买半价早餐，114/位确实确实贵；套餐里送的荔湾亭餐厅的晚餐很好吃，我们全家都非常喜欢，每天晚上都吃撑了哈哈；酒店是名副其实的花园酒店，早餐厅能看到外面后花园的瀑布，花园很漂亮，小朋友每天都要去逛一圈。
唯一美中不足的就是楼下地铁施工确实吵，晚上感觉要折腾到11、2点，早上6点就又开始了，不过这也不是酒店能控制的。
还有一个小插曲就是我明明在携程上预定了两晚，但不知道为什么办入住的时候就给我办了一晚，第二天打电话问我退不退房，回去之后又重新激活房卡，工作人员也没有表达任何歉意，这个让我感受不太好。
不过总体而言，我还是满意的，以后地铁修好了还可以住。",花园大床房,大床房
11,关于前台服务和整体满意度的评论,11,广州花园酒店不愧是老牌五星级酒店，一如既往的服务至上，里面装修跟十年前一样酒店维护的很好，入住的办理的小姑娘Betty特别不错尽心满足我们的需求，由于到达酒店已经有点晚了没有来得及享用套餐里面的下午茶，Betty马上跟主管联系把我们下午茶改成第二天的，第二天的下午茶在行政酒廊环境很是怡人隔着玻璃就可以看见酒店花园瀑布，工作人员Louis Cathy服务周到细心，凌璇阁的自助餐品质非常棒！下次一定会再次选择广州花园酒店！,红棉大床套房,套房
12,关于整体满意度和卫生状况的评论,12,"设施：老牌五星酒店设施，不算特别新但是够用，床品还算舒服。
卫生：卫生很好，屋内收拾的特别干净。
环境：后花园太美了，好多锦鲤还有瀑布，带孩子转了好几圈，特别开心。
服务：服务员非常好，帮忙开车拿行李，开门，开电梯。很棒。",花园大床房,大床房
13,关于整体满意度和前台服务的评论,13,"旅游入住了广州花园酒店，体验感超棒！一进大堂，挑高设计搭配华丽吊灯，瞬间被震撼。前台办理入住迅速，员工热情贴心，还详细介绍酒店设施。退房时Tina小姐姐十分迅速帮忙快速退房，一点没耽误行程。

房间布置典雅，床品舒适，窗外景色也不错。迷你吧饮品丰富，洗浴用品品质高。

酒店餐饮绝绝子，桃园馆的早茶，虾饺、肠粉新鲜又美味。自助餐厅海鲜新鲜，甜品精致。

健身房器材新且全，泳池水质清澈。位置也很优越，周边交通便利，商场、景点近。下次来广州，肯定还选这儿！",花园大床房,大床房
14,关于交通便利性和前台服务的评论,14,虽然是老牌酒店但设施并不显得陈旧，房间卫生，停车方便，离淘金地铁站很近，交通非常方便，花园、瀑布和池塘里的锦鲤令人赏心悦目。酒店工作人员LiVen服务态度很好，热情细心的答复我的疑问和帮忙办理入住和退房，点个赞????,花园大床房,大床房
15,关于前台服务和房间设施的评论,15,"设施：房间翻新过，给了升级，面向小区的，晚上睡觉特别安静，真的是住过的最舒服的床！！ ，音响也用的JBL ，超棒的音效

服务：快来夸夸服务！ 入住当天去了酒廊，有两位女士真的服务很热情，都有点不好意思了，一站起来就嘘寒问暖，各种主动提供需求可能，这才是水准 ，表扬Carrie～ 还有louis ，Carrie是位外籍人士，真的很认真，也是我第一次在酒店遇到，还推荐我去博物馆，专业且不失风度
还有前台的两位小姑娘，闪闪亮亮，退房的时候主动迎上来问，说把房卡给她们就好，而且还特别的温柔，很是酒店的门面，是Lulu和Liven

但唯一给差评的就是酒店的自助餐！ 在某某点评已经写了，就不多赘述，体验感直接打折，好在有这些服务人员的努力才能挽回，下次还回来",红棉大床套房,套房
16,关于整体满意度和客房服务的评论,16,"这次花园酒店给我的体验非常的美好。
设施：保护的非常的好。博物馆真是叹为观止。
荷花园小巧玲珑。瀑布餐厅依然是那样震撼又浪漫。李湾餐厅和桃园餐厅的美食。令人惊艳回味。

行政走廊的三位小姐姐。笑容可掬，服务周到。特别是beryle 令我印象深刻。
这次入住负责卫生的外国小姐姐。亲切有礼，收拾了房间非常的精致，还给我留了纸条。特此展出，提出表扬。",花园大床房,大床房
17,关于整体满意度和前台服务的评论,17,因为是老酒店，有很深的岭南文化底蕴，酒店的后花园别有特色，流水瀑布九曲长廊，一步一景美轮美奂。我已经住过多次，印象最深的是酒店的服务人员，无论是做什么的，都能体现出专业的素质。,花园大床房,大床房
18,关于前台服务和整体满意度的评论,18,"这次广州踏青之旅，基于情怀思量，选择入住花园酒店，没有选错；从进入大堂开始遇到的每位服务人员都热情和专业，特别是前台接待和行李寄存服务；酒店房间干净卫生温馨, 窗外可以看到瀑布，花团锦簇风景优美；酒店餐饮选择丰富，美景美食完美搭配；入住期间，参观了酒店的博物馆，浓厚的酒店历史和文化氛围，印象深刻，获益匪浅；有历史，有担当，有传承，白金五星酒店的称号实至名归。感谢酒店前台Winnie Yu的服务，热心细致，温文尔雅， 不愧是优质酒店培养出来的优秀服务人员，谢谢 ! 下次来广州，还选花园。",花园大床房,大床房
19,关于整体满意度和房间设施的评论,19,房间够大～布局合理～餐食美味～一四楼的酒店博物馆很有历史年代感～天气凉没下水～泳池还是很不错滴后花园很出片～最喜欢的是酒店到处都是鲜花布置～体现了广州花都的花园酒店～非常完美的一次选择～,红棉大床套房,套房
